"Year","LocationAbbr","LocationDesc","DataSource","TopicType","TopicDesc","MeasureDesc","Variable","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","GeoLocation","Topic Type ID","Topic ID","Measure ID","SubMeasureID","DisplayOrder"
"2008","CO","Colorado","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","119.6",,,"  CO  (38.843840757, -106.133610921)","HLT","501HLT","520SAE","SAE005","05"
"2007","AZ","Arizona","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","1,115.5",,,"  AZ  (34.86597028, -111.763811277)","HLT","501HLT","520SAE","SAE003","03"
"2008","IA","Iowa","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","66.5","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  IA  (42.469400913, -93.816490556)","HLT","501HLT","520SAE","SAE006","06"
"2005","CO","Colorado","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","1,430.2","†","Excludes dental expenditures","  CO  (38.843840757, -106.133610921)","HLT","501HLT","520SAE","SAE001","01"
"2008","ID","Idaho","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","262.0",,,"  ID  (43.682630005, -114.363730042)","HLT","501HLT","520SAE","SAE003","03"
"2007","VA","Virginia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","557.2",,,"  VA  (37.542680674, -78.457890463)","HLT","501HLT","520SAE","SAE004","04"
"2005","NJ","New Jersey","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","801.9",,,"  NJ  (40.130570048, -74.273691288)","HLT","501HLT","520SAE","SAE004","04"
"2009","VA","Virginia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","602.9",,,"  VA  (37.542680674, -78.457890463)","HLT","501HLT","520SAE","SAE004","04"
"2005","VA","Virginia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","391.5",,,"  VA  (37.542680674, -78.457890463)","HLT","501HLT","520SAE","SAE002","02"
"2009","MD","Maryland","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","253.0",,,"  MD  (39.290580964, -76.609260111)","HLT","501HLT","520SAE","SAE005","05"
"2006","OK","Oklahoma","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","77.5","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  OK  (35.472031356, -97.521070214)","HLT","501HLT","520SAE","SAE006","06"
"2006","CA","California","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","640.8",,,"  CA  (37.638640123, -120.999999538)","HLT","501HLT","520SAE","SAE005","05"
"2005","OH","Ohio","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","495.8",,,"  OH  (40.060210141, -82.404260056)","HLT","501HLT","520SAE","SAE005","05"
"2008","IN","Indiana","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","1,496.1",,,"  IN  (39.766910452, -86.149960194)","HLT","501HLT","520SAE","SAE003","03"
"2005","MD","Maryland","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","2,135.0","†","Excludes dental expenditures","  MD  (39.290580964, -76.609260111)","HLT","501HLT","520SAE","SAE001","01"
"2008","AL","Alabama","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","139.6",,,"  AL  (32.840571122, -86.631860762)","HLT","501HLT","520SAE","SAE005","05"
"2005","LA","Louisiana","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","1,568.5","†","Excludes dental expenditures","  LA  (31.312660644, -92.445680071)","HLT","501HLT","520SAE","SAE001","01"
"2009","MS","Mississippi","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","1,236.9","†","Excludes dental expenditures","  MS  (32.745510099, -89.538030825)","HLT","501HLT","520SAE","SAE001","01"
"2008","NM","New Mexico","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","109.4",,,"  NM  (34.520880952, -106.240580985)","HLT","501HLT","520SAE","SAE002","02"
"2007","ND","North Dakota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","14.7","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  ND  (47.475319779, -100.118421049)","HLT","501HLT","520SAE","SAE006","06"
"2005","ND","North Dakota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","139.8",,,"  ND  (47.475319779, -100.118421049)","HLT","501HLT","520SAE","SAE003","03"
"2005","NJ","New Jersey","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","3,503.0","†","Excludes dental expenditures","  NJ  (40.130570048, -74.273691288)","HLT","501HLT","520SAE","SAE001","01"
"2008","MS","Mississippi","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","91.1",,,"  MS  (32.745510099, -89.538030825)","HLT","501HLT","520SAE","SAE005","05"
"2005","AZ","Arizona","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","315.4",,,"  AZ  (34.86597028, -111.763811277)","HLT","501HLT","520SAE","SAE002","02"
"2007","IA","Iowa","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","62.8","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  IA  (42.469400913, -93.816490556)","HLT","501HLT","520SAE","SAE006","06"
"2008","TX","Texas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","493.6","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  TX  (31.827240407, -99.426770206)","HLT","501HLT","520SAE","SAE006","06"
"2006","FL","Florida","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","549.8",,,"  FL  (28.932040377, -81.928960539)","HLT","501HLT","520SAE","SAE005","05"
"2007","IL","Illinois","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","748.3",,,"  IL  (40.485010283, -88.997710178)","HLT","501HLT","520SAE","SAE002","02"
"2009","HI","Hawaii","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","276.6",,,"  HI  (21.304850435, -157.857749403)","HLT","501HLT","520SAE","SAE003","03"
"2007","IA","Iowa","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","622.8",,,"  IA  (42.469400913, -93.816490556)","HLT","501HLT","520SAE","SAE003","03"
"2006","SD","South Dakota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","14.2","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  SD  (44.353130053, -100.373530637)","HLT","501HLT","520SAE","SAE006","06"
"2006","LA","Louisiana","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","853.2",,,"  LA  (31.312660644, -92.445680071)","HLT","501HLT","520SAE","SAE003","03"
"2007","NM","New Mexico","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","124.9",,,"  NM  (34.520880952, -106.240580985)","HLT","501HLT","520SAE","SAE004","04"
"2007","WY","Wyoming","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","14.0",,,"  WY  (43.235541343, -108.109830353)","HLT","501HLT","520SAE","SAE005","05"
"2008","DC","District of Columbia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","43.4",,,"  DC  (38.890371385, -77.031961127)","HLT","501HLT","520SAE","SAE004","04"
"2008","AL","Alabama","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","444.4",,,"  AL  (32.840571122, -86.631860762)","HLT","501HLT","520SAE","SAE004","04"
"2009","AR","Arkansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","182.9",,,"  AR  (34.748650124, -92.274490743)","HLT","501HLT","520SAE","SAE002","02"
"2005","MO","Missouri","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","1,318.8",,,"  MO  (38.635790776, -92.566300053)","HLT","501HLT","520SAE","SAE003","03"
"2006","NC","North Carolina","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","200.2","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  NC  (35.466220975, -79.159250463)","HLT","501HLT","520SAE","SAE006","06"
"2008","NC","North Carolina","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","238.0","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  NC  (35.466220975, -79.159250463)","HLT","501HLT","520SAE","SAE006","06"
"2009","WY","Wyoming","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","257.7","†","Excludes dental expenditures","  WY  (43.235541343, -108.109830353)","HLT","501HLT","520SAE","SAE001","01"
"2007","AL","Alabama","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","839.0",,,"  AL  (32.840571122, -86.631860762)","HLT","501HLT","520SAE","SAE003","03"
"2006","NY","New York","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","4,756.2",,,"  NY  (42.827001032, -75.543970427)","HLT","501HLT","520SAE","SAE003","03"
"2009","IL","Illinois","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","299.8","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  IL  (40.485010283, -88.997710178)","HLT","501HLT","520SAE","SAE006","06"
"2006","ME","Maine","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","62.4","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  ME  (45.254228894001, -68.985031336)","HLT","501HLT","520SAE","SAE006","06"
"2005","AK","Alaska","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","196.0",,,"  AK  (64.845079957001, -147.722059036)","HLT","501HLT","520SAE","SAE003","03"
"2006","CA","California","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","11,170.8","†","Excludes dental expenditures","  CA  (37.638640123, -120.999999538)","HLT","501HLT","520SAE","SAE001","01"
"2005","GA","Georgia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","551.2",,,"  GA  (32.839681093, -83.627580346)","HLT","501HLT","520SAE","SAE004","04"
"2009","AL","Alabama","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","292.7",,,"  AL  (32.840571122, -86.631860762)","HLT","501HLT","520SAE","SAE002","02"
"2007","MD","Maryland","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","482.8",,,"  MD  (39.290580964, -76.609260111)","HLT","501HLT","520SAE","SAE004","04"
"2009","NJ","New Jersey","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","241.8","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  NJ  (40.130570048, -74.273691288)","HLT","501HLT","520SAE","SAE006","06"
"2008","ME","Maine","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","68.0","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  ME  (45.254228894001, -68.985031336)","HLT","501HLT","520SAE","SAE006","06"
"2007","TN","Tennessee","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","583.5",,,"  TN  (35.68094058, -85.774490914)","HLT","501HLT","520SAE","SAE004","04"
"2005","KY","Kentucky","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","126.2",,,"  KY  (37.645970271, -84.774971048)","HLT","501HLT","520SAE","SAE005","05"
"2005","TX","Texas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","377.8",,,"  TX  (31.827240407, -99.426770206)","HLT","501HLT","520SAE","SAE005","05"
"2008","MN","Minnesota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","1,243.2",,,"  MN  (46.355648736, -94.794200503)","HLT","501HLT","520SAE","SAE003","03"
"2008","VT","Vermont","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","200.8",,,"  VT  (43.625381239, -72.517640791)","HLT","501HLT","520SAE","SAE003","03"
"2007","CT","Connecticut","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","1,856.2","†","Excludes dental expenditures","  CT  (41.56266102, -72.649840952)","HLT","501HLT","520SAE","SAE001","01"
"2006","CT","Connecticut","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","780.4",,,"  CT  (41.56266102, -72.649840952)","HLT","501HLT","520SAE","SAE003","03"
"2006","ND","North Dakota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","31.5",,,"  ND  (47.475319779, -100.118421049)","HLT","501HLT","520SAE","SAE002","02"
"2005","WA","Washington","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","123.2","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","  WA  (47.522278629, -120.47001079)","HLT","501HLT","520SAE","SAE006","06"
"2008","NJ","New Jersey","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","1,770.8",,,"  NJ  (40.130570048, -74.273691288)","HLT","501HLT","520SAE","SAE003","03"
"2009","TX","Texas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","8,855.6","†","Excludes dental expenditures","  TX  (31.827240407, -99.426770206)","HLT","501HLT","520SAE","SAE001","01"
"2009","ND","North Dakota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","32.4",,,"  ND  (47.475319779, -100.118421049)","HLT","501HLT","520SAE","SAE005","05"
"2005","NM","New Mexico","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","107.7",,,"  NM  (34.520880952, -106.240580985)","HLT","501HLT","520SAE","SAE004","04"
"2007","CA","California","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","2,298.7",,,"  CA  (37.638640123, -120.999999538)","HLT","501HLT","520SAE","SAE002","02"
